row,col,x0,y0,x1,y1,mae,rmse,ssim,foreground_iou,edge_iou
4,0,0,243,90,304,242.40879821777344,242.74634716613141,nan,0.017486338797814208,0.0
0,11,990,0,1080,61,241.57461547851562,241.9840032161217,nan,0.02204007285974499,0.0
1,11,990,61,1080,122,238.58700561523438,238.93792505847622,nan,0.025136612021857924,0.0
4,1,90,243,180,304,236.87091064453125,237.9441570516074,nan,0.019854280510018214,0.004024144869215292
1,7,630,61,720,122,235.21548461914062,236.23344022650562,nan,0.02987249544626594,0.005309734513274336
5,0,0,304,90,365,234.9507598876953,236.35896957805514,nan,0.0877959927140255,0.0
4,2,180,243,270,304,234.90333557128906,236.12093035137735,nan,0.01785063752276867,0.0038022813688212928
2,11,990,122,1080,182,233.86968994140625,234.94330266843104,nan,0.22518518518518518,0.0
3,0,0,182,90,243,232.6069793701172,233.84302961602256,nan,0.2324225865209472,0.0
2,10,900,122,990,182,232.4474639892578,233.93648977874315,nan,0.18666666666666668,0.0015698587127158557
1,10,900,61,990,122,231.75318908691406,233.27444104262688,nan,0.12714025500910747,0.0
2,0,0,122,90,182,229.8798828125,231.96427695067618,nan,0.2111111111111111,0.0
1,4,360,61,450,122,227.7669677734375,230.3737367708177,nan,0.11749633967789165,0.038461538461538464
3,11,990,182,1080,243,227.63327026367188,229.67428533414446,nan,0.32459016393442625,0.006349206349206349
1,6,540,61,630,122,225.43728637695312,227.70975049116802,nan,0.36523009495982467,0.044284243048403706
1,3,270,61,360,122,224.66351318359375,228.98745360008263,nan,0.044440380395025604,0.03307607497243661
3,2,180,182,270,243,221.1369171142578,224.34074425135083,nan,0.3959927140255009,0.004916420845624385
0,1,90,0,180,61,220.75889587402344,225.7747685055839,nan,0.07055158512002932,0.011025358324145534
3,1,90,182,180,243,220.0033416748047,224.20886955582287,nan,0.1650273224043716,0.013669821240799159
1,8,720,61,810,122,219.8451690673828,223.99512585377835,nan,0.40761661807580174,0.04499612102404965
1,0,0,61,90,122,219.23175048828125,221.97466951490208,nan,0.46320582877959926,0.010769230769230769
3,10,900,182,990,243,218.63563537597656,221.8563020290386,nan,0.2874863188617293,0.0244140625
3,8,720,182,810,243,217.35670471191406,223.73164205415827,nan,0.24808743169398906,0.08681925808997633
5,11,990,304,1080,365,216.9856719970703,220.59444724709186,nan,0.2887067395264117,0.04103967168262654
0,10,900,0,990,61,216.9322967529297,226.98111326991503,nan,0.07151095732410612,0.1038961038961039
